label,z,x,y,area,vec_0,vec_1,vec_2,theta,psi,eccentricity,percentile_intensity,area_volume,mean_intensity_0,percentile_intensity_0,area_volume_0,mean_intensity_1,percentile_intensity_1,area_volume_1,mean_intensity_2,percentile_intensity_2,area_volume_2
243,129,167,239,4375,0.5056512519149843,-0.7290460616155552,0.46131188092185255,-1.0066355575117056,0.5301366648878187,5.887628016088625,602.0,91870.0,0.0,0.0,91870.0,126.45324189978592,164.0,91870.0,409.3172635245456,602.0,91870.0
244,128,196,377,8128,0.8058726779659495,-0.5473482955194304,0.225785451922754,-1.179554065196841,0.9371478902626202,3.461846838216163,217.0,33204.0,0.0,0.0,33204.0,42.26606232180862,50.0,33204.0,110.32479018592137,217.0,33204.0
248,128,165,313,6650,-0.9836431696397369,0.028248615291591048,0.17789921459972718,0.15747523733889304,-1.389679696581237,4.623087350497449,771.0,46862.0,0.0,0.0,46862.0,124.8394576984906,212.0,46862.0,375.5396910076395,771.0,46862.0
250,130,207,359,6245,0.9445679271182462,-0.30583326205301214,-0.11940455134354518,-1.9430201042634936,1.2362760742521406,4.537921590822381,471.0,51806.0,0.0,0.0,51806.0,82.4432433823624,100.0,51806.0,346.52096282283907,471.0,51806.0
251,131,358,142,11362,-0.7494509075462106,0.14106790201593314,0.6468563860695694,0.21472036337655953,-0.8472323194698143,3.4590701739005567,859.0,95225.0,0.0,0.0,95225.0,54.42193051544587,128.0,95225.0,266.57568915725915,859.0,95225.0
252,127,95,222,15384,0.9356583120720376,0.0024368254464556733,0.35289883101570274,0.006905057492502956,1.210119872280985,3.528708794857639,77.0,109236.0,0.0,0.0,109236.0,29.983378495489887,32.0,109236.0,58.21375126637128,77.0,109236.0
256,131,312,257,4598,0.874082060941908,0.32341863677489446,-0.36246508263033445,2.4130617769638976,1.0635429664501792,2.4067532661574287,128.0,44558.0,0.0,0.0,44558.0,54.326615497404134,70.0,44558.0,109.26423986713945,128.0,44558.0
257,132,342,382,10574,0.04646730580872354,0.30282676610142145,-0.9519121489000093,2.8335917412507547,0.04648404419343138,3.3706715730880443,1688.0,68593.0,0.0,0.0,68593.0,258.45955612574653,391.0,68593.0,955.962061240457,1688.0,68593.0
259,134,213,147,8909,0.953210841769455,-0.29775036730523424,0.05228584801611932,-1.396965670154642,1.2636851049902496,6.873303837729766,476.0,67080.0,0.0,0.0,67080.0,79.28791989664083,110.0,67080.0,283.3465016895249,476.0,67080.0
260,128,360,40,5311,-0.6058066671064797,0.7749018976794294,0.1803478058146476,1.3421306683340393,-0.6507793717641808,17.69425828676213,16.0,179309.0,0.0,0.0,179309.0,15.0,15.0,179309.0,15.850485288896078,16.0,179309.0
263,133,288,94,6534,0.9911770941927227,0.11861777108313575,0.05914213667884567,1.1082739630756793,1.4378609262172675,4.641430685309699,373.0,63214.0,0.0,0.0,63214.0,121.80291812995011,277.0,63214.0,251.19051686862616,373.0,63214.0
264,137,375,333,8820,-0.8689163193698712,-0.17712566689867756,0.4621806227638872,-0.3659743170728476,-1.0530086597881745,4.666977487849817,667.0,59252.0,0.0,0.0,59252.0,130.24695087648237,266.0,59252.0,235.8287146425437,667.0,59252.0
265,138,130,187,6907,-0.28156992073833925,-0.06052544668539116,0.9576299128781113,-0.06311942169264023,-0.2854298342312353,3.0891610838792993,297.0,89712.0,0.0,0.0,89712.0,48.68472816717199,57.0,89712.0,194.65169282444563,297.0,89712.0
266,135,246,270,4707,-0.8962930666174341,-0.42433920422063337,0.12882149857424774,-1.2760570724018132,-1.1113385090960628,3.1389006378303703,781.0,47212.0,0.0,0.0,47212.0,772.2121141517694,1028.0,47212.0,550.3070688243102,781.0,47212.0
267,136,382,161,13679,0.9856450893337398,0.04170063166530508,0.16359955742910368,0.24957994436086992,1.4011532505808395,6.023507709902253,82.0,91985.0,0.0,0.0,91985.0,23.84206845318983,34.0,91985.0,41.011085140693226,82.0,91985.0
268,138,339,220,6336,-0.7117856524473047,-0.5306599334581599,-0.4601752057557492,-2.285177435675137,-0.7920371735082519,3.4141739691839197,341.0,78823.0,0.0,0.0,78823.0,60.620478794260556,78.0,78823.0,221.87851261687578,341.0,78823.0
269,132,383,278,10077,-0.8704244454699545,0.17219855195488903,-0.46120379815539386,2.7842539022536092,-1.0560638293112075,7.470748095670145,81.0,41575.0,0.0,0.0,41575.0,42.009236319903785,95.0,41575.0,50.87510122268992,81.0,41575.0
271,139,330,256,9792,0.7196371485431878,0.014472312729865596,-0.6941994861715753,3.120748188959505,0.8032796003931931,2.931566231804172,159.0,44567.0,0.0,0.0,44567.0,50.118637856111775,60.0,44567.0,121.34384933545748,159.0,44567.0
273,138,208,248,5499,-0.8527460771624182,0.3523108861115198,-0.385617903385492,2.4012996916773264,-1.0212203504510355,3.032398759792904,409.0,86999.0,0.0,0.0,86999.0,505.38923052755393,738.0,86999.0,352.37154066904986,409.0,86999.0
279,141,223,98,6430,-0.9957292988251525,-0.08561729102907742,-0.034537558367839415,-1.9542257086697192,-1.4783436961534164,4.3409096731916454,446.0,19566.0,0.0,0.0,19566.0,54.05879246311629,104.0,19566.0,227.64693856690178,446.0,19566.0
281,141,74,248,8977,0.9941333524458719,-0.10809749237238908,0.00371614013902835,-1.536432187969042,1.4624229647169795,4.710795218286103,35.0,151095.0,0.0,0.0,151095.0,17.264952513319436,19.0,151095.0,26.57999271981204,35.0,151095.0
282,143,260,339,10102,-0.6563797613976837,-0.5960104217164264,0.4625334431507922,-0.9108310637309057,-0.7160100464644646,2.5377093060553704,885.0,49771.0,0.0,0.0,49771.0,124.0190740257044,190.0,49771.0,479.7479857748488,885.0,49771.0
284,145,356,296,8657,0.9347199524988505,0.25894525694748066,-0.2434049389493764,2.3252691244446955,1.2074702348672743,3.2270206791806744,223.0,47024.0,0.0,0.0,47024.0,70.17038108200067,122.0,47024.0,148.2197317681751,223.0,47024.0
287,148,314,303,12865,0.8238276870860658,-0.4931951320322778,0.27940383628376947,-1.0553599862583414,0.9681309271137252,4.879452229552058,539.0,50104.0,0.0,0.0,50104.0,250.93155569748257,393.0,50104.0,254.9893554739475,539.0,50104.0
