
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
198.594,523.743,44.9554,µm,Spot,Position Reference Frame,Reference Frame 1,1,225,
223.109,522.409,45.7031,µm,Spot,Position Reference Frame,Reference Frame 1,1,226,
198.05,490.66,46.6882,µm,Spot,Position Reference Frame,Reference Frame 1,1,227,
211.818,498.948,47.0282,µm,Spot,Position Reference Frame,Reference Frame 1,1,228,
228.601,502.941,47.3643,µm,Spot,Position Reference Frame,Reference Frame 1,1,229,
191.71,503.131,47.4824,µm,Spot,Position Reference Frame,Reference Frame 1,1,230,
224.823,515.105,47.1144,µm,Spot,Position Reference Frame,Reference Frame 1,1,231,
204.127,474.132,47.7264,µm,Spot,Position Reference Frame,Reference Frame 1,1,232,
191.337,478.114,47.8422,µm,Spot,Position Reference Frame,Reference Frame 1,1,233,
218.425,478.683,47.8527,µm,Spot,Position Reference Frame,Reference Frame 1,1,234,
202.308,488.532,47.509,µm,Spot,Position Reference Frame,Reference Frame 1,1,235,
209.544,490.714,47.7131,µm,Spot,Position Reference Frame,Reference Frame 1,1,236,
187.308,494.995,47.5752,µm,Spot,Position Reference Frame,Reference Frame 1,1,237,
234.266,496.473,47.5318,µm,Spot,Position Reference Frame,Reference Frame 1,1,238,
203.037,499.579,47.7718,µm,Spot,Position Reference Frame,Reference Frame 1,1,239,
214.131,510.214,47.8277,µm,Spot,Position Reference Frame,Reference Frame 1,1,240,
203.397,514.125,47.7261,µm,Spot,Position Reference Frame,Reference Frame 1,1,241,
260.394,528.686,40.2762,µm,Spot,Position Reference Frame,Reference Frame 1,1,242,
278.439,511.972,42.3803,µm,Spot,Position Reference Frame,Reference Frame 1,1,243,
268.254,514.205,43.9434,µm,Spot,Position Reference Frame,Reference Frame 1,1,244,
250.193,525.677,43.8783,µm,Spot,Position Reference Frame,Reference Frame 1,1,245,
261.91,517.882,44.1478,µm,Spot,Position Reference Frame,Reference Frame 1,1,246,
249.002,513.215,45.9056,µm,Spot,Position Reference Frame,Reference Frame 1,1,247,
243.827,519.176,46.1622,µm,Spot,Position Reference Frame,Reference Frame 1,1,248,
289.846,497.089,46.8675,µm,Spot,Position Reference Frame,Reference Frame 1,1,249,
264.966,502.272,46.6195,µm,Spot,Position Reference Frame,Reference Frame 1,1,250,
269.106,477.7,47.0183,µm,Spot,Position Reference Frame,Reference Frame 1,1,251,
270.891,490.216,47.3628,µm,Spot,Position Reference Frame,Reference Frame 1,1,252,
251.387,492.405,47.0726,µm,Spot,Position Reference Frame,Reference Frame 1,1,253,
273.733,498.766,47.2317,µm,Spot,Position Reference Frame,Reference Frame 1,1,254,
278.052,475.362,47.7215,µm,Spot,Position Reference Frame,Reference Frame 1,1,255,
276.142,483.715,47.7864,µm,Spot,Position Reference Frame,Reference Frame 1,1,256,
238.991,489.493,47.7016,µm,Spot,Position Reference Frame,Reference Frame 1,1,257,
243.453,499.383,47.6584,µm,Spot,Position Reference Frame,Reference Frame 1,1,258,
336.888,496.567,40.0212,µm,Spot,Position Reference Frame,Reference Frame 1,1,259,
325.636,501.393,40.2722,µm,Spot,Position Reference Frame,Reference Frame 1,1,260,
316.444,500.41,41.9313,µm,Spot,Position Reference Frame,Reference Frame 1,1,261,
308.522,504.905,42.7106,µm,Spot,Position Reference Frame,Reference Frame 1,1,262,
299.54,505.843,43.6087,µm,Spot,Position Reference Frame,Reference Frame 1,1,263,
344.255,485.182,45.2335,µm,Spot,Position Reference Frame,Reference Frame 1,1,264,
328.756,488.955,45.7829,µm,Spot,Position Reference Frame,Reference Frame 1,1,265,
314.631,496.559,45.6958,µm,Spot,Position Reference Frame,Reference Frame 1,1,266,
307.538,475.346,47.8076,µm,Spot,Position Reference Frame,Reference Frame 1,1,267,
