
Detailed
 ==================== 
Position X Reference Frame,Position Y Reference Frame,Position Z Reference Frame,Unit,Category,Collection,ReferenceFrame,Time,ID,
437.365,339.056,44.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,178,
564.806,365.023,45.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,179,
483.884,277.431,46.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,180,
398.534,242.181,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,181,
602.203,333.144,41.3275,µm,Spot,Position Reference Frame,Reference Frame 1,1,182,
599.544,357.397,34.3346,µm,Spot,Position Reference Frame,Reference Frame 1,1,183,
576.955,197.098,42.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,184,
573.566,198.489,44.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,185,
564.048,217.524,46.3181,µm,Spot,Position Reference Frame,Reference Frame 1,1,186,
569.505,239.26,48.5829,µm,Spot,Position Reference Frame,Reference Frame 1,1,187,
373.766,380.787,46.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,188,
548.419,286.158,49.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,189,
505.85,311.815,50.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,190,
514.66,337.166,48.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,191,
517.339,338.68,47.4088,µm,Spot,Position Reference Frame,Reference Frame 1,1,192,
491.754,347.116,47.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,193,
220.082,560.1,30.25,µm,Spot,Position Reference Frame,Reference Frame 1,1,194,
254.488,395.925,47.75,µm,Spot,Position Reference Frame,Reference Frame 1,1,195,
